root@ecoqube-wkld-dev-4qz4c-4cg6d:/# ps -ax
    PID TTY      STAT   TIME COMMAND
   1271 ?        Sl     0:00 /usr/local/bin/containerd-shim-runc-v2 -namespace k8s.io -id 56a46ec39ce6d44672269cdcf99767e361f064067c0209f45b07899e19082e54 -address /run/containerd/containerd.sock
   1280 ?        Sl     0:00 /usr/local/bin/containerd-shim-runc-v2 -namespace k8s.io -id 3b47d80c0e94fa120bd404250a3fdafa702ad399fd4d339065a48fc1b9523903 -address /run/containerd/containerd.sock
   1312 ?        Ss     0:00 /pause
   1321 ?        Ss     0:00 /pause
   1359 ?        Ssl    0:00 /usr/local/bin/kube-proxy --config=/var/lib/kube-proxy/config.conf --hostname-override=ecoqube-wkld-dev-4qz4c-4cg6d
   2505 ?        Ss     0:00 /usr/local/bin/runsvdir -P /etc/service/enabled
   2592 ?        Ssl    0:01 /usr/local/bin/containerd
   2756 ?        Ss     0:00 runsv monitor-addresses
   2757 ?        Ss     0:00 runsv allocate-tunnel-addrs
   2758 ?        Ss     0:00 runsv felix
   2759 ?        Ss     0:00 runsv bird6
   2760 ?        Ss     0:00 runsv confd
   2761 ?        Ss     0:00 runsv node-status-reporter
   2762 ?        Ss     0:00 runsv bird
   2763 ?        Ss     0:00 runsv cni
   2764 ?        Sl     0:00 calico-node -monitor-addresses
   2765 ?        Sl     0:00 calico-node -confd
   2766 ?        Sl     0:00 calico-node -allocate-tunnel-addrs
   2769 ?        Sl     0:00 calico-node -status-reporter
   2770 ?        Sl     0:00 calico-node -monitor-token
   2771 ?        Sl     0:01 calico-node -felix
   2997 ?        S      0:00 bird6 -R -s /var/run/calico/bird6.ctl -d -c /etc/calico/confd/config/bird6.cfg
   3007 ?        S      0:00 bird -R -s /var/run/calico/bird.ctl -d -c /etc/calico/confd/config/bird.cfg
   3137 ?        Sl     0:00 /usr/local/bin/containerd-shim-runc-v2 -namespace k8s.io -id d90da19cc1a0d7beaec62684cafbf4a73390680b3a91c18388c9511d4dcfd264 -address /run/containerd/containerd.sock
   3156 ?        Ss     0:00 /pause
   3201 ?        Ssl    0:00 /coredns -conf /etc/coredns/Corefile
   3367 ?        Sl     0:00 /usr/local/bin/containerd-shim-runc-v2 -namespace k8s.io -id fb00ab707d933b1f67159abfed6100fa14c8af71889038b8b96cf462e2f90517 -address /run/containerd/containerd.sock
   3387 ?        Ss     0:00 /pause
   3531 ?        Sl     0:00 /usr/local/bin/containerd-shim-runc-v2 -namespace k8s.io -id 0013c562f10a23b64909d3323060313b0af84971ba994528f3e3352e90feb8e8 -address /run/containerd/containerd.sock
   3551 ?        Ss     0:00 /pause
   3582 ?        Ssl    0:00 /coredns -conf /etc/coredns/Corefile
   3710 ?        Ssl    0:00 /extender --syncPeriod=2s --cert=/tas/cert/tls.crt --key=/tas/cert/tls.key --cacert=/var/run/secrets/kubernetes.io/serviceaccount/ca.crt --v=2
   4474 pts/1    Ss     0:00 bash
   5901 pts/1    R+     0:00 ps -ax
